Conexiones activas de Internet (servidores w/o)
Proto  Recib Enviad Dirección local         Dirección remota       Estado      
tcp        0      0 192.168.0.150:38982     198.41.215.68:http      TIME_WAIT  
tcp        0      0 192.168.0.150:54146     scotty1.guildzilla:http ESTABLECIDO
tcp        0      0 192.168.0.150:44222     179.6.255.25:http       TIME_WAIT  
tcp        0      0 192.168.0.150:39882     179.6.254.139:http      ESTABLECIDO
tcp        0      0 192.168.0.150:53438     bn.com.pe:http          ESTABLECIDO
tcp        0      0 192.168.0.150:41477     179.6.254.145:http      ESTABLECIDO
tcp        0      0 192.168.0.150:35765     179.6.255.30:http       ESTABLECIDO
tcp        0      0 192.168.0.150:46176     104.28.31.143:http      TIME_WAIT  
tcp        0      0 192.168.0.150:45161     a23-32-214-252.de:https ESTABLECIDO
tcp        0      0 192.168.0.150:44428     a23-60-13-201.dep:https ESTABLECIDO
tcp        0      0 192.168.0.150:60645     179.6.255.81:https      TIME_WAIT  
tcp        0      0 192.168.0.150:39755     104.28.30.143:http      ESTABLECIDO
tcp        0      0 192.168.0.150:50195     ec2-52-22-196-131.:http ESTABLECIDO
tcp        0      0 192.168.0.150:32826     a172-229-54-27.dep:http ESTABLECIDO
tcp        0      0 192.168.0.150:52475     104.244.42.8:https      ESTABLECIDO
tcp        0      0 192.168.0.150:44138     179.6.255.25:http       ESTABLECIDO
tcp        0      0 192.168.0.150:33013     72.21.91.29:http        TIME_WAIT  
tcp        0      0 192.168.0.150:58207     179.6.255.40:https      ESTABLECIDO
tcp        0      0 192.168.0.150:56607     179.6.254.153:http      ESTABLECIDO
tcp        0      0 192.168.0.150:39749     104.28.30.143:http      ESTABLECIDO
tcp        0      0 192.168.0.150:53440     bn.com.pe:http          ESTABLECIDO
tcp        0      0 192.168.0.150:45154     a23-32-214-252.de:https ESTABLECIDO
tcp        0      0 192.168.0.150:48859     mia07s34-in-f5.1e:https ESTABLECIDO
tcp        0      0 192.168.0.150:58936     104.25.168.18:http      TIME_WAIT  
tcp        0      0 192.168.0.150:36314     mia07s27-in-f161.:https TIME_WAIT  
tcp        0      0 192.168.0.150:34221     xx-fbcdn-shv-01-at:http ESTABLECIDO
tcp        0      0 192.168.0.150:54142     scotty1.guildzilla:http TIME_WAIT  
tcp        0      0 192.168.0.150:56632     server-54-230-160-:http ESTABLECIDO
tcp        0      0 192.168.0.150:36140     mia07s27-in-f161.:https ESTABLECIDO
tcp        0      0 192.168.0.150:42677     104.24.117.39:http      ESTABLECIDO
